first_name,last_name,gender,email,cell,age,state,pokemon
Hermes,da Cruz,male,hermes.dacruz@example.com,(18) 6176-8557,69,São Paulo,litten
Vidaúl,Novaes,male,vidaul.novaes@example.com,(79) 1276-3031,57,Sergipe,charmander
Joselindo,Rocha,male,joselindo.rocha@example.com,(37) 5886-2639,50,Minas Gerais,cyndaquil
Axel,Mendes,male,axel.mendes@example.com,(86) 7794-2657,61,Piauí,torchic
Elias,da Paz,male,elias.dapaz@example.com,(38) 1336-0333,26,Minas Gerais,fennekin
Orlandino,Nascimento,male,orlandino.nascimento@example.com,(11) 6708-1285,37,São Paulo,fennekin
Fausto,Duarte,male,fausto.duarte@example.com,(24) 0307-4679,33,Rio de Janeiro,charmander
Nicodemos,Gomes,male,nicodemos.gomes@example.com,(49) 2734-2385,69,Santa Catarina,chimchar
Franklino,Pinto,male,franklino.pinto@example.com,(88) 0977-9532,34,Ceará,scorbunny
Gumesindo,da Rosa,male,gumesindo.darosa@example.com,(16) 8691-3434,53,São Paulo,charmander
Alexandrino,Gomes,male,alexandrino.gomes@example.com,(91) 3476-1409,55,Pará,litten
Filinto,Monteiro,male,filinto.monteiro@example.com,(22) 5560-3817,64,Rio de Janeiro,litten
Charbel,Viana,male,charbel.viana@example.com,(13) 1653-9258,51,São Paulo,cyndaquil
Franklim,da Cruz,male,franklim.dacruz@example.com,(44) 3677-8241,69,Paraná,litten
Elgar,das Neves,male,elgar.dasneves@example.com,(33) 2260-4397,43,Minas Gerais,charmander
Félix,Gomes,male,felix.gomes@example.com,(66) 7951-2886,71,Mato Grosso,cyndaquil
Bernardo,Moura,male,bernardo.moura@example.com,(27) 9990-5839,56,Espírito Santo,cyndaquil
Alvarino,de Souza,male,alvarino.desouza@example.com,(41) 7908-8969,30,Paraná,tepig
Marto,Rodrigues,male,marto.rodrigues@example.com,(54) 0929-2650,44,Rio Grande do Sul,cyndaquil
Jacinto,de Souza,male,jacinto.desouza@example.com,(18) 3541-0701,25,São Paulo,litten
Gabino,Alves,male,gabino.alves@example.com,(16) 5304-4525,36,São Paulo,scorbunny
Oseias,Peixoto,male,oseias.peixoto@example.com,(97) 3794-7768,67,Amazonas,scorbunny
Jabes,Porto,male,jabes.porto@example.com,(95) 1671-1709,39,Roraima,cyndaquil
Lael,Cavalcanti,male,lael.cavalcanti@example.com,(16) 4207-4777,67,São Paulo,chimchar
Níger,Santos,male,niger.santos@example.com,(91) 1382-4401,66,Pará,scorbunny
Anael,da Conceição,male,anael.daconceicao@example.com,(47) 4341-1111,54,Santa Catarina,tepig
Evaristo,Santos,male,evaristo.santos@example.com,(33) 9214-5733,60,Minas Gerais,torchic
Oliveiros,Monteiro,male,oliveiros.monteiro@example.com,(67) 1956-5154,42,Mato Grosso do Sul,litten
Engrácio,Almeida,male,engracio.almeida@example.com,(88) 7482-1783,75,Ceará,torchic
Virgílio,Silva,male,virgilio.silva@example.com,(55) 1859-8300,30,Rio Grande do Sul,litten
Ricardo,Lopes,male,ricardo.lopes@example.com,(64) 5050-1426,74,Goiás,torchic
Cildo,Rodrigues,male,cildo.rodrigues@example.com,(66) 5411-6791,55,Mato Grosso,chimchar
Valdomiro,Ramos,male,valdomiro.ramos@example.com,(48) 6883-9796,54,Santa Catarina,tepig
Eric,Monteiro,male,eric.monteiro@example.com,(89) 3066-0749,48,Piauí,scorbunny
Hermes,da Luz,male,hermes.daluz@example.com,(43) 5616-5248,35,Paraná,scorbunny
Adão,Silveira,male,adao.silveira@example.com,(69) 5672-1248,45,Rondônia,litten
Amarílio,Ramos,male,amarilio.ramos@example.com,(67) 7906-6170,65,Mato Grosso do Sul,charmander
Bartolomeu,Rocha,male,bartolomeu.rocha@example.com,(53) 6754-4235,65,Rio Grande do Sul,torchic
Bartolomeu Perestrelo,Peixoto,male,bartolomeuperestrelo.peixoto@example.com,(49) 1510-2628,75,Santa Catarina,scorbunny
Sindulfo,da Mata,male,sindulfo.damata@example.com,(91) 6614-6000,48,Pará,chimchar
Duílio,Lopes,male,duilio.lopes@example.com,(48) 7325-5215,55,Santa Catarina,scorbunny
Santelmo,Barbosa,male,santelmo.barbosa@example.com,(62) 1749-6534,76,Goiás,fennekin
Celto,Pires,male,celto.pires@example.com,(68) 1776-9557,65,Acre,tepig
Enio,Nogueira,male,enio.nogueira@example.com,(74) 3676-9551,52,Bahia,torchic
Natalício,da Luz,male,natalicio.daluz@example.com,(66) 4165-3027,54,Mato Grosso,cyndaquil
Ari,Oliveira,male,ari.oliveira@example.com,(71) 1657-0369,63,Bahia,tepig
Maurício,Silva,male,mauricio.silva@example.com,(85) 6006-3040,68,Ceará,scorbunny
Alito,Pires,male,alito.pires@example.com,(66) 6913-8644,32,Mato Grosso,fennekin
Guimar,Carvalho,male,guimar.carvalho@example.com,(53) 6596-6553,31,Rio Grande do Sul,litten
Olindo,da Cunha,male,olindo.dacunha@example.com,(49) 1053-9228,55,Santa Catarina,cyndaquil
Tércio,Martins,male,tercio.martins@example.com,(97) 0750-4922,56,Amazonas,scorbunny
Gonzaga,Vieira,male,gonzaga.vieira@example.com,(45) 6305-6613,54,Paraná,litten
Óscar,Oliveira,male,oscar.oliveira@example.com,(19) 3137-7995,53,São Paulo,charmander
Leonardo,Lopes,male,leonardo.lopes@example.com,(66) 3670-3088,55,Mato Grosso,tepig
Nêuton,da Costa,male,neuton.dacosta@example.com,(41) 8514-9315,45,Paraná,tepig
Olivier,Nunes,male,olivier.nunes@example.com,(74) 9307-7001,26,Bahia,litten
Yuri,Aragão,male,yuri.aragao@example.com,(11) 4470-7935,43,São Paulo,tepig
Sénio,Moreira,male,senio.moreira@example.com,(54) 1085-7301,62,Rio Grande do Sul,cyndaquil
Vito,da Luz,male,vito.daluz@example.com,(27) 5603-8551,64,Espírito Santo,cyndaquil
Jociano,Santos,male,jociano.santos@example.com,(33) 0757-7136,43,Minas Gerais,fennekin
Alamiro,Campos,male,alamiro.campos@example.com,(34) 8420-7467,33,Minas Gerais,fennekin
Evaldo,da Luz,male,evaldo.daluz@example.com,(61) 8854-3616,45,Distrito Federal,litten
Martino,Moura,male,martino.moura@example.com,(66) 0965-5762,33,Mato Grosso,fennekin
Ódin,Lima,male,odin.lima@example.com,(66) 0818-4399,31,Mato Grosso,fennekin
Maurício,Mendes,male,mauricio.mendes@example.com,(15) 9442-4328,25,São Paulo,torchic
Nicola,Nunes,male,nicola.nunes@example.com,(41) 8807-4883,55,Paraná,charmander
Castelino,Teixeira,male,castelino.teixeira@example.com,(86) 8744-0008,69,Piauí,torchic
Betino,Silveira,male,betino.silveira@example.com,(13) 3188-4907,55,São Paulo,tepig
David,da Paz,male,david.dapaz@example.com,(74) 4910-7091,27,Bahia,cyndaquil
Ernesto,Rodrigues,male,ernesto.rodrigues@example.com,(28) 1356-3702,39,Espírito Santo,cyndaquil
Juventino,Ribeiro,male,juventino.ribeiro@example.com,(61) 4324-4051,39,Distrito Federal,cyndaquil
Jacó,da Conceição,male,jaco.daconceicao@example.com,(95) 0871-3550,26,Roraima,fennekin
Daniel,Silveira,male,daniel.silveira@example.com,(31) 3087-0425,76,Minas Gerais,fennekin
Alito,Barbosa,male,alito.barbosa@example.com,(31) 8533-3337,71,Minas Gerais,charmander
Madjer,Souza,male,madjer.souza@example.com,(69) 7491-7461,25,Rondônia,scorbunny
Marcial,Freitas,male,marcial.freitas@example.com,(12) 8746-8359,71,São Paulo,chimchar
Garibaldo,Rodrigues,male,garibaldo.rodrigues@example.com,(53) 8049-3877,72,Rio Grande do Sul,scorbunny
Ataíde,Nogueira,male,ataide.nogueira@example.com,(89) 5852-9702,75,Piauí,litten
Estevão,da Conceição,male,estevao.daconceicao@example.com,(53) 9374-0080,47,Rio Grande do Sul,fennekin
Nero,Souza,male,nero.souza@example.com,(67) 1343-4730,49,Mato Grosso do Sul,torchic
Jadir,Teixeira,male,jadir.teixeira@example.com,(64) 7375-3659,68,Goiás,litten
Joselino,Cavalcanti,male,joselino.cavalcanti@example.com,(46) 6629-1690,67,Paraná,tepig
Amâncio,Cardoso,male,amancio.cardoso@example.com,(38) 5503-3107,53,Minas Gerais,scorbunny
Heitor,Moura,male,heitor.moura@example.com,(16) 0561-6574,75,São Paulo,litten
Nataniel,da Luz,male,nataniel.daluz@example.com,(62) 0569-5569,73,Goiás,fennekin
Enrique,Araújo,male,enrique.araujo@example.com,(61) 0614-7145,60,Distrito Federal,cyndaquil
Salvador,Nascimento,male,salvador.nascimento@example.com,(14) 2651-8429,61,São Paulo,scorbunny
Jacó,Melo,male,jaco.melo@example.com,(83) 2026-9989,70,Paraíba,scorbunny
Almerindo,da Conceição,male,almerindo.daconceicao@example.com,(21) 5224-6746,58,Rio de Janeiro,fennekin
