first_name,last_name,gender,email,cell,age,state,pokemon
Fausto,Cavalcanti,male,fausto.cavalcanti@example.com,(93) 0307-5863,43,Pará,rowlet
Daniel,das Neves,male,daniel.dasneves@example.com,(65) 0713-1148,53,Mato Grosso,rowlet
Amador,Nogueira,male,amador.nogueira@example.com,(97) 1986-6833,65,Amazonas,rowlet
Edmero,Melo,male,edmero.melo@example.com,(88) 9321-7800,67,Ceará,rowlet
Gildásio,Farias,male,gildasio.farias@example.com,(15) 5214-3109,37,São Paulo,rowlet
Nino,Moreira,male,nino.moreira@example.com,(14) 2528-1323,38,São Paulo,rowlet
Secundino,Nascimento,male,secundino.nascimento@example.com,(42) 8711-0000,28,Paraná,rowlet
Rossano,Martins,male,rossano.martins@example.com,(21) 7134-8546,37,Rio de Janeiro,rowlet
Teodomiro,Moreira,male,teodomiro.moreira@example.com,(73) 4146-3026,55,Bahia,rowlet
Ascenso,Novaes,male,ascenso.novaes@example.com,(71) 2847-5617,63,Bahia,rowlet
Everardo,Silveira,male,everardo.silveira@example.com,(34) 2381-2070,73,Minas Gerais,rowlet
