first_name,last_name,gender,email,cell,age,state,pokemon
Fulgêncio,Fernandes,male,fulgencio.fernandes@example.com,(66) 2726-3136,29,Mato Grosso,bulbasaur
Balbino,Almeida,male,balbino.almeida@example.com,(18) 2615-8313,70,São Paulo,chikorita
Dilermando,Viana,male,dilermando.viana@example.com,(93) 9968-8563,67,Pará,snivy
Nélio,da Cunha,male,nelio.dacunha@example.com,(71) 8878-5848,53,Bahia,bulbasaur
Toledo,Pires,male,toledo.pires@example.com,(94) 1381-9142,29,Pará,grookey
Enes,Oliveira,male,enes.oliveira@example.com,(89) 8031-3053,27,Piauí,turtwig
Clésio,Ferreira,male,clesio.ferreira@example.com,(92) 7168-4930,32,Amazonas,snivy
Durvalino,Mendes,male,durvalino.mendes@example.com,(21) 6120-9711,33,Rio de Janeiro,turtwig
Matusalém,Caldeira,male,matusalem.caldeira@example.com,(27) 4787-0025,73,Espírito Santo,turtwig
Emaús,Campos,male,emaus.campos@example.com,(37) 9145-3728,64,Minas Gerais,treecko
Bendavid,Teixeira,male,bendavid.teixeira@example.com,(63) 4955-8954,28,Tocantins,snivy
Natão,Ramos,male,natao.ramos@example.com,(89) 3427-7689,27,Piauí,snivy
Priteche,da Cunha,male,priteche.dacunha@example.com,(79) 4010-5109,38,Sergipe,bulbasaur
Israel,Freitas,male,israel.freitas@example.com,(41) 3788-8984,54,Paraná,chikorita
Maciel,de Souza,male,maciel.desouza@example.com,(65) 1569-3669,29,Mato Grosso,treecko
Aníbal,Moreira,male,anibal.moreira@example.com,(68) 2464-0292,62,Acre,chikorita
Hermínio,Nascimento,male,herminio.nascimento@example.com,(13) 6804-5103,43,São Paulo,rowlet
Décimo,Ferreira,male,decimo.ferreira@example.com,(44) 1045-5404,37,Paraná,chikorita
Núrio,Moraes,male,nurio.moraes@example.com,(13) 9970-9260,69,São Paulo,grookey
Cecílio,Duarte,male,cecilio.duarte@example.com,(71) 6070-3723,73,Bahia,chikorita
Telmo,Oliveira,male,telmo.oliveira@example.com,(84) 4997-1041,51,Rio Grande do Norte,snivy
Apolinário,Dias,male,apolinario.dias@example.com,(42) 1887-2559,30,Paraná,snivy
Ruperto,Martins,male,ruperto.martins@example.com,(71) 8939-5991,79,Bahia,bulbasaur
Oto,da Rocha,male,oto.darocha@example.com,(94) 1130-8383,71,Pará,bulbasaur
Artur,Costa,male,artur.costa@example.com,(37) 7913-9779,44,Minas Gerais,treecko
Ercílio,Araújo,male,ercilio.araujo@example.com,(49) 9923-7026,34,Santa Catarina,snivy
Aquiles,Carvalho,male,aquiles.carvalho@example.com,(22) 6357-4223,56,Rio de Janeiro,chikorita
Cristofe,Alves,male,cristofe.alves@example.com,(35) 4985-7556,62,Minas Gerais,grookey
Nísio,Souza,male,nisio.souza@example.com,(55) 6067-4781,66,Rio Grande do Sul,snivy
Nilton,Barros,male,nilton.barros@example.com,(35) 5092-4052,42,Minas Gerais,grookey
Marcílio,da Conceição,male,marcilio.daconceicao@example.com,(61) 3264-8676,77,Distrito Federal,grookey
Santana,Melo,male,santana.melo@example.com,(98) 9136-8152,61,Maranhão,snivy
Abssilão,Mendes,male,abssilao.mendes@example.com,(53) 1353-1808,49,Rio Grande do Sul,grookey
Nonato,Ribeiro,male,nonato.ribeiro@example.com,(21) 2377-7814,54,Rio de Janeiro,chespin
Albano,Pinto,male,albano.pinto@example.com,(84) 8743-0387,54,Rio Grande do Norte,chikorita
Macário,Ferreira,male,macario.ferreira@example.com,(49) 8633-4120,61,Santa Catarina,chespin
Gil,Pereira,male,gil.pereira@example.com,(84) 8126-7666,54,Rio Grande do Norte,snivy
Elgar,da Mota,male,elgar.damota@example.com,(88) 3683-5960,40,Ceará,turtwig
Mesaque,Rodrigues,male,mesaque.rodrigues@example.com,(74) 4593-6136,27,Bahia,grookey
Ciro,Porto,male,ciro.porto@example.com,(94) 1793-7776,43,Pará,rowlet
Hemetério,Barbosa,male,hemeterio.barbosa@example.com,(34) 3291-7968,70,Minas Gerais,grookey
Jonatã,Oliveira,male,jonata.oliveira@example.com,(48) 3550-4289,42,Santa Catarina,bulbasaur
Ingo,Vieira,male,ingo.vieira@example.com,(11) 6311-2230,47,São Paulo,grookey
Alvino,Campos,male,alvino.campos@example.com,(37) 0859-8264,56,Minas Gerais,chespin
Dante,Farias,male,dante.farias@example.com,(62) 0270-8709,58,Goiás,treecko
Joselindo,Dias,male,joselindo.dias@example.com,(41) 2339-8496,41,Paraná,grookey
Adner,Monteiro,male,adner.monteiro@example.com,(91) 2753-5811,26,Pará,treecko
Jordano,Nascimento,male,jordano.nascimento@example.com,(16) 4546-9057,76,São Paulo,rowlet
Marino,Lima,male,marino.lima@example.com,(24) 5763-3369,51,Rio de Janeiro,chikorita
Adail,Rezende,male,adail.rezende@example.com,(45) 9500-0471,43,Paraná,chespin
Vitório,Alves,male,vitorio.alves@example.com,(49) 1692-5482,59,Santa Catarina,turtwig
Lisandro,Alves,male,lisandro.alves@example.com,(83) 9539-6340,46,Paraíba,bulbasaur
Eustáquio,Jesus,male,eustaquio.jesus@example.com,(73) 7771-1038,78,Bahia,chikorita
Lucínio,da Conceição,male,lucinio.daconceicao@example.com,(55) 5742-0333,34,Rio Grande do Sul,chespin
Osmano,Silveira,male,osmano.silveira@example.com,(74) 7430-4163,57,Bahia,grookey
Huberto,Cavalcanti,male,huberto.cavalcanti@example.com,(67) 0072-1089,50,Mato Grosso do Sul,rowlet
Eleazar,Peixoto,male,eleazar.peixoto@example.com,(44) 5468-5821,68,Paraná,snivy
Aldo,Barbosa,male,aldo.barbosa@example.com,(95) 1113-9719,40,Roraima,chespin
Delfim,Cardoso,male,delfim.cardoso@example.com,(24) 5019-5181,37,Rio de Janeiro,rowlet
Hólger,Campos,male,holger.campos@example.com,(42) 8131-6687,26,Paraná,rowlet
Romeu,Barbosa,male,romeu.barbosa@example.com,(11) 6380-7394,26,São Paulo,grookey
Hermitério,da Luz,male,hermiterio.daluz@example.com,(28) 6594-0953,78,Espírito Santo,chespin
Joselindo,Araújo,male,joselindo.araujo@example.com,(85) 9632-4654,26,Ceará,bulbasaur
Hérman,Fernandes,male,herman.fernandes@example.com,(99) 7590-9177,39,Maranhão,treecko
