first_name,last_name,gender,email,cell,age,state,pokemon
Aleixo,Teixeira,male,aleixo.teixeira@example.com,(84) 0725-5908,77,Rio Grande do Norte,snivy
Higino,da Luz,male,higino.daluz@example.com,(95) 1558-1973,56,Roraima,chikorita
Rudesindo,Rocha,male,rudesindo.rocha@example.com,(33) 1854-8986,73,Minas Gerais,grookey
Fausto,Cavalcanti,male,fausto.cavalcanti@example.com,(93) 0307-5863,43,Pará,rowlet
Daniel,das Neves,male,daniel.dasneves@example.com,(65) 0713-1148,53,Mato Grosso,rowlet
Filino,Dias,male,filino.dias@example.com,(77) 0384-2670,29,Bahia,treecko
Urias,da Mata,male,urias.damata@example.com,(37) 0119-4373,76,Minas Gerais,chespin
Amador,Nogueira,male,amador.nogueira@example.com,(97) 1986-6833,65,Amazonas,rowlet
Cid,Castro,male,cid.castro@example.com,(31) 2528-9139,74,Minas Gerais,bulbasaur
Misael,Moreira,male,misael.moreira@example.com,(79) 1255-6587,34,Sergipe,snivy
Léccio,Viana,male,leccio.viana@example.com,(16) 7757-4830,51,São Paulo,grookey
Graciliano,Silva,male,graciliano.silva@example.com,(48) 8354-1529,36,Santa Catarina,snivy
Alder,Fogaça,male,alder.fogaca@example.com,(18) 9886-1411,70,São Paulo,treecko
Ariel,Souza,male,ariel.souza@example.com,(48) 3852-8856,66,Santa Catarina,snivy
Alfeu,Araújo,male,alfeu.araujo@example.com,(16) 0733-5304,35,São Paulo,snivy
Caíco,da Rocha,male,caico.darocha@example.com,(42) 8167-4731,67,Paraná,snivy
Benício,Araújo,male,benicio.araujo@example.com,(79) 6183-1653,76,Sergipe,treecko
Egídio,Gonçalves,male,egidio.goncalves@example.com,(71) 9193-2893,76,Bahia,treecko
Edmero,Melo,male,edmero.melo@example.com,(88) 9321-7800,67,Ceará,rowlet
Damasceno,Lima,male,damasceno.lima@example.com,(21) 4097-6118,46,Rio de Janeiro,grookey
Prudêncio,da Paz,male,prudencio.dapaz@example.com,(45) 0523-9055,54,Paraná,turtwig
Breno,Caldeira,male,breno.caldeira@example.com,(11) 8388-6232,34,São Paulo,chespin
Héber,Jesus,male,heber.jesus@example.com,(35) 7350-5482,77,Minas Gerais,turtwig
Abraão,Rezende,male,abraao.rezende@example.com,(34) 5138-2695,34,Minas Gerais,chespin
Amâncio,Sales,male,amancio.sales@example.com,(89) 5635-0960,73,Piauí,turtwig
Gildásio,Farias,male,gildasio.farias@example.com,(15) 5214-3109,37,São Paulo,rowlet
Adalsino,Sales,male,adalsino.sales@example.com,(92) 4470-6926,78,Amazonas,snivy
Egídio,Fernandes,male,egidio.fernandes@example.com,(35) 2263-5000,56,Minas Gerais,snivy
Alexandre,da Luz,male,alexandre.daluz@example.com,(19) 0238-6478,70,São Paulo,snivy
