first_name,last_name,gender,email,cell,age,state,pokemon
Cid,Castro,male,cid.castro@example.com,(31) 2528-9139,74,Minas Gerais,bulbasaur
Charbel,Rezende,male,charbel.rezende@example.com,(75) 8411-6980,45,Bahia,bulbasaur
Estácio,Duarte,male,estacio.duarte@example.com,(55) 1166-8597,40,Rio Grande do Sul,bulbasaur
Aldaír,Carvalho,male,aldair.carvalho@example.com,(95) 9931-1358,54,Roraima,bulbasaur
Fortunato,de Souza,male,fortunato.desouza@example.com,(98) 9162-8293,39,Maranhão,bulbasaur
Isidro,Silveira,male,isidro.silveira@example.com,(14) 4096-1235,31,São Paulo,bulbasaur
Áser,da Mata,male,aser.damata@example.com,(73) 8222-7983,35,Bahia,bulbasaur
Heldo,Souza,male,heldo.souza@example.com,(16) 0012-8618,68,São Paulo,bulbasaur
Margarido,Aragão,male,margarido.aragao@example.com,(79) 2687-2877,71,Sergipe,bulbasaur
Anísio,Silveira,male,anisio.silveira@example.com,(13) 4816-1580,67,São Paulo,bulbasaur
Múcio,Monteiro,male,mucio.monteiro@example.com,(51) 3187-3361,65,Rio Grande do Sul,bulbasaur
Edo,Barbosa,male,edo.barbosa@example.com,(21) 8026-8614,70,Rio de Janeiro,bulbasaur
Gui,Nascimento,male,gui.nascimento@example.com,(49) 4397-9623,42,Santa Catarina,bulbasaur
